,Cluster Labels,price,beds,bath,distance,address.line,address.lat,address.lon,address.line
0,0,1695.0,0,1.0,1.2623261043874574,856 Beacon St,42.347276,-71.104035,856 Beacon St
1,0,2000.0,1,1.0,1.4197766257748339,94 Pearl St,42.362262,-71.105042,94 Pearl St
2,0,2000.0,2,1.0,2.7594202308941145,36 Mozart St,42.321511,-71.104501,36 Mozart St
3,0,2050.0,1,1.0,2.94937733861568,10 Sumner Rd,42.376035,-71.112334,10 Sumner Rd
4,0,2200.0,1,1.0,2.4914318326052345,147 W 8th St Unit 147,42.334595,-71.05362,147 W 8th St Unit 147
5,0,2250.0,1,1.0,0.5861077263385432,274 Marlborough St # #ph,42.351547,-71.08265,274 Marlborough St # #ph
6,0,2350.0,2,1.0,2.590577067989376,5 Badger Pl Unit 1,42.378234,-71.062758,5 Badger Pl Unit 1
7,1,6800.0,2,1.0,0.41175053174974685,87 MT Vernon Unit Carriageh,42.358455,-71.067997,87 MT Vernon Unit Carriageh
8,1,6995.0,5,2.0,1.8554538798512572,158 Western Ave,42.364736,-71.109149,158 Western Ave
9,1,7500.0,2,2.0,0.5820071639943349,149 West Newton St,42.342501,-71.077431,149 West Newton St
10,1,7600.0,6,2.0,2.463432953358856,226 W 5th St,42.336252,-71.050169,226 W 5th St
11,2,4600.0,3,1.0,1.947018950051981,45 Tremont St,42.371224,-71.098578,45 Tremont St
12,2,4600.0,3,2.0,2.555948513711782,12 Lexington Ave,42.377544,-71.059577,12 Lexington Ave
13,2,4700.0,4,3.0,1.6445883907262195,9 Hamlin St,42.369303,-71.092936,9 Hamlin St
14,2,5000.0,3,2.0,1.6466130240170582,185 Charles St,42.368173,-71.08343,185 Charles St
15,3,6000.0,5,3.0,2.5121671130537586,365 Harvard St,42.371572,-71.111376,365 Harvard St
16,3,6000.0,7,3.0,2.788076440463354,11 Hartford St,42.317518,-71.073618,11 Hartford St
17,3,6500.0,3,2.0,2.2069605703782154,24 Pleasant St Unit 24,42.374755,-71.062725,24 Pleasant St Unit 24
18,4,2450.0,2,1.0,0.6213580078681769,51 Hemenway St Apt 1,42.34515,-71.089823,51 Hemenway St Apt 1
19,4,2500.0,1,1.0,2.2530686371862747,22 Hingham St Unit Cottage,42.365009,-71.114732,22 Hingham St Unit Cottage
20,4,2500.0,3,1.0,2.915345894542963,11 Forbes St,42.321905,-71.108102,11 Forbes St
21,4,2550.0,2,1.0,0.6911242460797304,141A Revere St,42.359529,-71.071861,141A Revere St
22,4,2600.0,2,1.0,2.836398720408759,223 Boston St Unit House,42.322284,-71.061392,223 Boston St Unit House
23,4,2600.0,2,1.0,2.955105221419564,93 Kirkland St,42.378228,-71.107649,93 Kirkland St
24,4,2600.0,3,1.0,2.880513600267543,21 Elder St Unit 1,42.32058,-71.063353,21 Elder St Unit 1
25,4,2650.0,3,2.0,2.860957501946953,63 Mozart St,42.320423,-71.104588,63 Mozart St
26,4,2800.0,1,1.0,1.96042578653542,12 Murdock St Unit 12,42.3713,-71.098788,12 Murdock St Unit 12
27,4,2900.0,3,2.0,2.8577795896050953,2 Pearl Street Pl,42.38066,-71.06288,2 Pearl Street Pl
28,4,2950.0,2,1.0,2.6720020787121253,114 Bartlett St,42.379094,-71.066384,114 Bartlett St
29,4,3000.0,2,2.0,2.823993995846434,,42.328977,-71.054366,
30,4,3200.0,2,1.0,1.3256389315512684,258 Shawmut Ave,42.343205,-71.068428,258 Shawmut Ave
31,5,9800.0,7,4.0,2.7629045542965356,25 Ware St,42.373627,-71.112819,25 Ware St
32,6,3500.0,2,1.0,1.3434637846084663,11 Watson St,42.362163,-71.10397,11 Watson St
33,6,3575.0,4,1.0,2.620254824353396,7 Grimes St Unit 2,42.334083,-71.051457,7 Grimes St Unit 2
34,6,3700.0,3,1.0,2.2169101884058557,12 Austin St,42.374972,-71.06467,12 Austin St
35,6,3750.0,2,2.0,0.3440671041699236,34 Mount Vernon St # #ph,42.358136,-71.065899,34 Mount Vernon St # #ph
36,6,3950.0,3,2.0,2.9838105078279598,442 Main St,42.381594,-71.071524,442 Main St
37,6,4000.0,5,2.0,2.800970153259286,30 Wadsworth St,42.355079,-71.125291,30 Wadsworth St
38,6,4100.0,5,2.0,2.258698720466673,,42.322459,-71.094523,
